SigU,SigV,SigW,SigT,ustar,wT,ui,vi,V,L,z_L1,CD,Tstar,norm_sigU,norm_sigV,norm_sigW,norm_sigT,Tavg,L,z_L2
0.300,0.227,0.106,0.339,0.077,0.009,-0.194,0.153,0.375,-0.421,-6.366,0.042,0.112,3.911,2.960,1.382,3.027,31.413,-4.082,-0.657
0.224,0.218,0.110,0.138,0.069,0.006,-0.094,0.381,0.475,-0.379,-7.071,0.021,0.089,3.251,3.164,1.597,1.554,27.827,-4.099,-0.654
0.327,0.361,0.124,0.220,0.066,0.005,-0.208,0.276,0.539,-0.399,-6.717,0.015,0.080,4.962,5.478,1.882,2.757,28.776,-4.186,-0.640
0.291,0.256,0.120,0.253,0.080,0.009,-0.093,0.161,0.537,-0.436,-6.147,0.022,0.114,3.647,3.208,1.504,2.219,30.502,-4.340,-0.617
0.272,0.253,0.114,0.282,0.093,0.015,-0.104,0.136,0.375,-0.447,-5.996,0.062,0.155,2.912,2.709,1.221,1.819,31.215,-4.359,-0.615
0.238,0.255,0.112,0.169,0.076,0.008,-0.112,0.329,0.433,-0.443,-6.050,0.031,0.101,3.136,3.360,1.476,1.673,30.453,-4.416,-0.607
0.238,0.255,0.112,0.169,0.076,0.008,-0.112,0.329,0.433,-0.443,-6.050,0.031,0.101,3.136,3.360,1.476,1.673,30.453,-4.416,-0.607
0.196,0.155,0.085,0.171,0.053,0.003,-0.146,0.041,0.258,-0.455,-5.890,0.042,0.048,3.705,2.930,1.607,3.577,30.514,-4.528,-0.592
0.250,0.205,0.106,0.221,0.076,0.007,-0.115,0.122,0.328,-0.428,-6.262,0.054,0.096,3.294,2.701,1.397,2.295,28.078,-4.592,-0.584
0.271,0.163,0.104,0.198,0.085,0.010,-0.294,0.170,0.384,-0.469,-5.714,0.049,0.122,3.181,1.913,1.221,1.623,30.947,-4.609,-0.582
0.271,0.163,0.104,0.198,0.085,0.010,-0.294,0.170,0.384,-0.469,-5.714,0.049,0.122,3.181,1.913,1.221,1.623,30.947,-4.609,-0.582
0.414,0.213,0.125,0.402,0.088,0.011,-0.357,0.151,0.484,-0.496,-5.403,0.033,0.127,4.710,2.423,1.422,3.165,32.097,-4.717,-0.568
0.323,0.145,0.107,0.214,0.083,0.009,-0.374,0.170,0.442,-0.476,-5.630,0.035,0.109,3.906,1.753,1.294,1.963,29.787,-4.841,-0.554
0.366,0.182,0.111,0.226,0.085,0.009,-0.252,0.059,0.377,-0.529,-5.066,0.051,0.111,4.321,2.149,1.311,2.036,32.248,-5.010,-0.535
0.594,0.206,0.169,0.265,0.111,0.021,-0.503,0.111,0.612,-0.521,-5.144,0.033,0.190,5.351,1.856,1.523,1.395,31.541,-5.033,-0.532
0.203,0.317,0.103,0.190,0.070,0.005,-0.099,0.298,0.461,-0.474,-5.654,0.023,0.072,2.900,4.529,1.471,2.654,27.168,-5.240,-0.511
